model,num_platforms_total,num_platforms_f1_nonzero,accuracy_best,accuracy_avg,accuracy_n,precision_best,precision_avg,precision_n,recall_best,recall_avg,recall_n,f1_best,f1_avg,f1_n,auroc_best,auroc_avg,auroc_n,auprc_best,auprc_avg,auprc_n
cep3,22,1,1.0,0.8343000416007418,22,0.5161290322580645,0.02346041055718475,22,0.6597938144329897,0.02999062792877226,22,0.579185520361991,0.02632661456190868,22,0.8839285714285714,0.5263260530017128,20,0.7793078237584342,0.1811081189948638,22
gru,22,2,1.0,0.8438117852017002,22,0.6808510638297872,0.053675048355899424,22,0.32,0.015627705627705626,22,0.43537414965986393,0.0218558497779277,22,0.9131481481481483,0.5262399090326584,20,0.822016653655998,0.20891611375287605,22
fta_lstm,22,1,1.0,0.8495592640369978,22,0.8055555555555556,0.036616161616161616,22,0.90625,0.041193181818181816,22,0.8529411764705882,0.038770053475935824,22,0.973404255319149,0.593219006067595,20,0.9493691058087433,0.23989664434182947,22
ifcnn_tpp,22,0,1.0,0.8361112127114659,22,0.0,0.0,22,0.0,0.0,22,0.0,0.0,22,0.6542553191489362,0.5004476223040741,20,0.7146568404914949,0.1760992850889268,22
gnn,22,2,1.0,0.836922317328457,22,0.5833333333333334,0.04709834190966267,22,0.9896907216494846,0.07362230552952202,22,0.6213592233009708,0.05577856609410006,22,0.7551976284584979,0.5533045211635572,20,0.6479956228334487,0.20002263727070166,22
lstm,22,2,1.0,0.8357990022082323,22,0.7011494252873564,0.0343054933572175,22,0.61,0.029133083411433926,22,0.6524064171122995,0.031437368335764056,22,0.8749802371541502,0.5507910118580325,20,0.7991271916677961,0.21886044717906133,22
fta_gru,22,2,1.0,0.8438117852017002,22,0.6808510638297872,0.053675048355899424,22,0.32,0.015627705627705626,22,0.43537414965986393,0.0218558497779277,22,0.9131481481481483,0.5262399090326584,20,0.822016653655998,0.20891611375287605,22
